"A「田中さんが戻るのは何時ですか。」<br><br>B「３時ごろだと思います。」","A「 田中[たなか]さんが 戻[もど]るのは 何[なん] 時[じ]ですか。」 <br>B「３ 時[じ]ごろだと 思[おも]います。」","A: What time is Tanaka-san coming back?<br>B: I think around 3:00.<br><br>戻[もど]る - to return, to come back","A: ¿A qué hora vuelve Tanaka-san? <br>B: Creo que alrededor de las 3:00.<br><br>戻[もど]る - volver, regresar","[sound:JLPT_Tango_N4_0242.mp3]","","単語N4"
"新聞を読んだら、ここに戻して下さい。","新聞[しんぶん]を 読[よ]んだら、ここに 戻[もど]して 下[くだ]さい。","Please return the newspapers here after you read them.<br><br>戻[もど]す - to return, to give back","Por favor, devuelva los periódicos aquí después de leerlos.<br><br>戻[もど]す - devolver, devolver","[sound:JLPT_Tango_N4_0243.mp3]","","単語N4"
"春から東京の本社に行きます。","春[はる]から 東京[とうきょう]の 本社[ほんしゃ]に 行[い]きます。","""I'm going to the main office in Tokyo starting in the spring.<br><br>本社[ほんしゃ] - main office""","Voy a la oficina principal en Tokio a partir de la primavera.<br><br>本社[ほんしゃ] - oficina principal","[sound:JLPT_Tango_N4_0244.mp3]","","単語N4"
"私の会社の社長は若いですね。","私[わたし]の 会社[かいしゃ]の 社長[しゃちょう]は 若[わか]いですね。","The president of my company is young.<br><br>社長[しゃちょう] - president","El presidente de mi empresa es joven.<br><br>社長[しゃちょう] - presidente","[sound:JLPT_Tango_N4_0245.mp3]","","単語N4"
"会社のルールを良く読んで下さい。","会社[かいしゃ]のルールを 良[よ]く 読[よ]んで 下[くだ]さい。","Please read the company rules carefully.<br><br>ルール - rule","Por favor, lea atentamente las normas de la empresa.<br><br>ルール - regla","[sound:JLPT_Tango_N4_0246.mp3]","","単語N4"
"この会社の規則を知っていますか。","この 会社[かいしゃ]の 規則[きそく]を 知[し]っていますか。","""Do you know this company's rules and regulations?<br><br>規則[きそく] - rule, regulation""","¿Conoce las normas y reglamentos de esta empresa?<br><br>規則[きそく] - norma, reglamento","[sound:JLPT_Tango_N4_0247.mp3]","","単語N4"
"新しいアルバイトが決まりました。","新[あたら]しいアルバイトが 決[き]まりました。","My new part-time job has been decided.<br><br>決[き]まる - to be decided","Mi nuevo trabajo a tiempo parcial se ha decidido.<br><br>決[き]まる - por decidir","[sound:JLPT_Tango_N4_0248.mp3]","","単語N4"
"会議の時間を決めましょう。","会議[かいぎ]の 時間[じかん]を 決[き]めましょう。","""Let's decide the time of the meeting.<br><br>決[き]める - to decide""","Decidamos la hora de la reunión.<br><br>決[き]める - para decidir","[sound:JLPT_Tango_N4_0249.mp3]","","単語N4"
"休む時は許可を貰って下さい。","休[やす]む 時[とき]は 許可[きょか]を 貰[もら]って 下[くだ]さい。","Please receive permission when you want to take time off.<br><br>許可[きょか]＜する＞ - permission","Por favor, reciba el permiso cuando quiera tomar tiempo libre.<br><br>許可[きょか]＜する＞ - permiso","[sound:JLPT_Tango_N4_0250.mp3]","","単語N4"
"ここに判子を押して下さい。","ここに 判子[はんこ]を 押[お]して 下[くだ]さい。","Please stamp your seal here.<br><br>（ 判子[はんこ]を） 押[お]す - to stamp (a seal)","Por favor, estampe su sello aquí.<br><br>（ 判子[はんこ]を） 押[お]す - estampar (un sello)","[sound:JLPT_Tango_N4_0251.mp3]","","単語N4"
"１分でも遅刻してはいけません。","１ 分[ぷん]でも 遅刻[ちこく]してはいけません。","""You mustn't be late by even one minute.<br><br>遅刻[ちこく]＜する＞ - to be late, being late""","No debes llegar tarde ni siquiera un minuto.<br><br>遅刻[ちこく]＜する＞ - llegar tarde, retrasarse","[sound:JLPT_Tango_N4_0252.mp3]","","単語N4"
"この会社にはどんな技術がありますか。","この 会社[かいしゃ]にはどんな 技術[ぎじゅつ]がありますか。","What kind of technology does this company have?<br><br>技術[ぎじゅつ] - technology","¿Qué tipo de tecnología tiene esta empresa?<br><br>技術[ぎじゅつ] - tecnología","[sound:JLPT_Tango_N4_0253.mp3]","","単語N4"
"パソコンを見ていると、目が疲れます。","パソコンを 見[み]ていると、 目[め]が 疲[つか]れます。","After staring at my computer, my eyes get tired.<br><br>パソコン - computer","Después de mirar fijamente mi ordenador, mis ojos se cansan.<br><br>パソコン - ordenador","[sound:JLPT_Tango_N4_0254.mp3]","","単語N4"
"パソコンのソフトを作る仕事がしたいです。","パソコンのソフトを 作[つく]る 仕事[しごと]がしたいです。","I want to have a job where I make computer software.<br><br>ソフト - software","Quiero tener un trabajo en el que haga programas informáticos.<br><br>ソフト - software","[sound:JLPT_Tango_N4_0255.mp3]","","単語N4"
"明日までにこの書類を出して下さい。","明日[あす]までにこの 書類[しょるい]を 出[だ]して 下[くだ]さい。","Please submit these documents by tomorrow.<br><br>書類[しょるい] - document","Por favor, presente estos documentos antes de mañana.<br><br>書類[しょるい] - documento","[sound:JLPT_Tango_N4_0256.mp3]","","単語N4"
"資料をファイルに入れます。","資料[しりょう]をファイルに 入[い]れます。","""I'm going to put these materials in the file.<br><br>ファイル - file""","Voy a poner estos materiales en el archivo.<br><br>ファイル - archivo","[sound:JLPT_Tango_N4_0257.mp3]","","単語N4"
"ここに英語で入力して下さい。","ここに 英語[えいご]で 入力[にゅうりょく]して 下[くだ]さい。","Please input things here in English.<br><br>入力[にゅうりょく]＜する＞ - input","Por favor, introduzca las cosas aquí en inglés.<br><br>入力[にゅうりょく]＜する＞ - entrada","[sound:JLPT_Tango_N4_0258.mp3]","","単語N4"
"中国語を日本語に翻訳します。","中国語[ちゅうごくご]を 日本語[にほんご]に 翻訳[ほんやく]します。","I will translate Chinese into Japanese.<br><br>翻訳[ほんやく]＜する＞ - translation","Traduciré el chino al japonés.<br><br>翻訳[ほんやく]＜する＞ - traducción","[sound:JLPT_Tango_N4_0259.mp3]","","単語N4"
"小学生の頃から通訳に成りたかったです。","小学生[しょうがくせい]の 頃[ころ]から 通訳[つうやく]に 成[な]りたかったです。","""I've wanted to be an interpreter since I was an elementary school student.<br><br>通訳[つうやく]＜する＞ - interpreting""","He querido ser intérprete desde que era estudiante de primaria.<br><br>通訳[つうやく]＜する＞ - interpretación","[sound:JLPT_Tango_N4_0260.mp3]","","単語N4"
"日本語が上手になる方法を教えて下さい。","日本語[にほんご]が 上手[じょうず]になる 方法[ほうほう]を 教[おし]えて 下[くだ]さい。","Please teach me how to get better at Japanese.<br><br>方法[ほうほう] - method","Por favor, enséñame a mejorar en japonés.<br><br>方法[ほうほう] - método","[sound:JLPT_Tango_N4_0261.mp3]","","単語N4"
"仕事の仕方をすぐに覚えました。","仕事[しごと]の 仕方[しかた]をすぐに 覚[おぼ]えました。","I immediately memorized how to do the job.<br><br>仕方[しかた] - way of doing something","Inmediatamente memoricé cómo hacer el trabajo.<br><br>仕方[しかた] - forma de hacer algo","[sound:JLPT_Tango_N4_0262.mp3]","","単語N4"
"最近、やっと仕事に慣れました。","最近[さいきん]、やっと 仕事[しごと]に 慣[な]れました。","""I've recently gotten used to my job.<br><br>慣[な]れる - to get used to""","Recientemente me he acostumbrado a mi trabajo.<br><br>慣[な]れる - acostumbrarse a","[sound:JLPT_Tango_N4_0263.mp3]","","単語N4"
"明日のスピーチは上手く行くでしょう。","明日[あした]のスピーチは 上手[うま]く 行[い]くでしょう。","I wonder if the speech tomorrow will go well.<br><br>上手[うま]く 行[い]く - to go well","Me pregunto si el discurso de mañana irá bien. 行[い]く - para ir bien","[sound:JLPT_Tango_N4_0264.mp3]","","単語N4"
"田中さんは仕事で成功しました。","田中[たなか]さんは 仕事[しごと]で 成功[せいこう]しました。","Tanaka-san succeeded at his job.<br><br>成功[せいこう]＜する＞ - success","Tanaka-san tuvo éxito en su trabajo.<br><br>成功[せいこう]＜する＞ - éxito","[sound:JLPT_Tango_N4_0265.mp3]","","単語N4"
"店長に仕事を頼まれました。","店長[てんちょう]に 仕事[しごと]を 頼[たの]まれました。","I was asked to do a job by the store manager.<br><br>頼[たの]む - to ask, to request","El gerente de la tienda me pidió que hiciera un trabajo.<br><br>頼[たの]む - pedir, solicitar","[sound:JLPT_Tango_N4_0266.mp3]","","単語N4"
"フランス語の通訳を手伝って下さい。","フランス 語[ご]の 通訳[つうやく]を 手伝[てつだ]って 下[くだ]さい。","Please help us interpret French.<br><br>手伝[てつだ]う - to help","Por favor, ayúdanos a interpretar el francés.<br><br>手伝[てつだ]う - para ayudar","[sound:JLPT_Tango_N4_0267.mp3]","","単語N4"
"忙しい時は残業します。","忙[いそが]しい 時[とき]は 残業[ざんぎょう]します。","When I am busy, I work overtime.<br><br>残業[ざんぎょう]＜する＞ - working overtime","Cuando estoy ocupado, trabajo horas extras.<br><br>残業[ざんぎょう]＜する＞ - trabajando horas extras","[sound:JLPT_Tango_N4_0268.mp3]","","単語N4"
"時間がないので、急いで下さい。","時間[じかん]がないので、 急[いそ]いで 下[くだ]さい。","""We don't have much time, so let's hurry.<br><br>急[いそ]ぐ - to hurry""","No tenemos mucho tiempo, así que démonos prisa.<br><br>急[いそ]ぐ - para darse prisa","[sound:JLPT_Tango_N4_0270.mp3]","","単語N4"
"昼休みは１２時から１時間です。","昼休[ひるやす]みは１２ 時[じ]から１ 時間[じかん]です。","My lunch break is one hour starting at 12:00.<br><br>昼休[ひるやす]み - lunch break","Mi descanso para almorzar es de una hora a partir de las 12:00.<br><br>昼休[ひるやす]み - pausa para el almuerzo","[sound:JLPT_Tango_N4_0271.mp3]","","単語N4"
"３時ですから、ちょっと休憩しましょう。","３ 時[じ]ですから、ちょっと 休憩[きゅうけい]しましょう。","""It's 3:00, so let's take a break.<br><br>休憩[きゅうけい]＜する＞ - break""","Son las 3:00, así que tomemos un descanso.<br><br>休憩[きゅうけい]＜する＞ - break","[sound:JLPT_Tango_N4_0272.mp3]","","単語N4"
"来週、忘年会をしませんか。","来週[らいしゅう]、 忘年会[ぼうねんかい]をしませんか。","""Why don't we have our year-end party next week?<br><br>忘年会[ぼうねんかい] - year-end party""","¿Por qué no tenemos nuestra fiesta de fin de año la semana que viene? <br><br>忘年会[ぼうねんかい] - fiesta de fin de año","[sound:JLPT_Tango_N4_0273.mp3]","","単語N4"
"父も母も公務員です。","父[ちち]も 母[はは]も 公務員[こうむいん]です。","Both my father and my mother are civil servants.<br><br>公務員[こうむいん] - civil servant","Tanto mi padre como mi madre son funcionarios.<br><br>公務員[こうむいん] - funcionario","[sound:JLPT_Tango_N4_0274.mp3]","","単語N4"
"弁護士に成るのは難しいです。","弁護士[べんごし]に 成[な]るのは 難[むずか]しいです。","""It's difficult to become a lawyer.<br><br>弁護士[べんごし] - lawyer""","Es difícil llegar a ser abogado.<br><br>弁護士[べんごし] - abogado","[sound:JLPT_Tango_N4_0275.mp3]","","単語N4"
"パンの工場でアルバイトしていました。","パンの 工場[こうじょう]でアルバイトしていました。","I worked part-time at a bread factory.<br><br>工場[こうじょう] - factory","Trabajé a tiempo parcial en una fábrica de pan.<br><br>工場[こうじょう] - fábrica","[sound:JLPT_Tango_N4_0276.mp3]","","単語N4"
"事務所で昼御飯を食べています。","事務所[じむしょ]で 昼[ひる] 御飯[ごはん]を 食[た]べています。","""I'm eating lunch at the office.<br><br>事務所[じむしょ] - office""","Estoy comiendo en la oficina.<br><br>事務所[じむしょ] - oficina","[sound:JLPT_Tango_N4_0277.mp3]","","単語N4"
"本屋さんでガイドブックを買いました。","本屋[ほんや]さんでガイドブックを 買[か]いました。","I bought a guidebook at a book store.<br><br>ガイドブック - guidebook","He comprado una guía en una librería.<br><br>ガイドブック - guía","[sound:JLPT_Tango_N4_0278.mp3]","","単語N4"
"電車の時刻表は何処にありますか。","電車[でんしゃ]の 時刻[じこく] 表[ひょう]は 何処[どこ]にありますか。","Where is the train timetable?<br><br>時刻[じこく] 表[ひょう] - timetable","¿Dónde está el horario del tren? <br><br>時刻[じこく] 表[ひょう] - horario","[sound:JLPT_Tango_N4_0279.mp3]","","単語N4"
"今年家族と旅行を計画しています。","今年[ことし] 家族[かぞく]と 旅行[りょこう]を 計画[けいかく]しています。","This year, I plan to go to a trip with my family.<br><br>計画[けいかく]＜する＞ - plan","Este año, pienso ir de viaje con mi familia.<br><br>計画[けいかく]＜する＞ - plan","[sound:JLPT_Tango_N4_0280.mp3]","","単語N4"
"たまには遠くへ行きたいです。","たまには 遠[とお]くへ 行[い]きたいです。","Sometimes, I like to travel to someplace far away.<br><br>遠[とお]く - far (away)","A veces, me gusta viajar a algún lugar lejano.<br><br>遠[とお]く - lejos","[sound:JLPT_Tango_N4_0281.mp3]","","単語N4"
"夏休みに海外へ行きたいと思っています。","夏休[なつやす]みに 海外[かいがい]へ 行[い]きたいと 思[おも]っています。","I would like to travel overseas during summer vacation.<br><br>海外[かいがい] - overseas","Me gustaría viajar al extranjero durante las vacaciones de verano.<br><br>海外[かいがい] - al extranjero","[sound:JLPT_Tango_N4_0282.mp3]","","単語N4"
"夏に母と国内を旅行します。","夏[なつ]に 母[はは]と 国内[こくない]を 旅行[りょこう]します。","""In the summer, I'm going to travel the country with my mother.<br><br>国内[こくない] - domestic, in the country""","En verano, voy a viajar por el país con mi madre.<br><br>国内[こくない] - doméstico, en el país","[sound:JLPT_Tango_N4_0283.mp3]","","単語N4"
"ここから見る景色は本当に綺麗ですね。","ここから 見[み]る 景色[けしき]は 本当[ほんとう]に 綺麗[きれい]ですね。","The scenery visible from here is really beautiful.<br><br>景色[けしき] - scenery","El paisaje que se ve desde aquí es realmente hermoso.<br><br>景色[けしき] - paisaje","[sound:JLPT_Tango_N4_0284.mp3]","","単語N4"
"日本には面白い祭りが多いです。","日本[にほん]には 面白[おもしろ]い 祭[まつ]りが 多[おお]いです。","There are many interesting festivals in Japan.<br><br>（お） 祭[まつ]り - festival","Hay muchos festivales interesantes en Japón.<br><br>（お） 祭[まつ]り - festival","[sound:JLPT_Tango_N4_0285.mp3]","","単語N4"
"日本の花火の技術は世界一です。","日本[にほん]の 花火[はなび]の 技術[ぎじゅつ]は 世界一[せかいいち]です。","Japanese fireworks engineering is the best in the world.<br><br>花火[はなび] - fireworks","La ingeniería pirotécnica japonesa es la mejor del mundo.<br><br>花火[はなび] - fuegos artificiales","[sound:JLPT_Tango_N4_0286.mp3]","","単語N4"
"もうすぐ嬉しい４連休です。","もうすぐ 嬉[うれ]しい４ 連休[れんきゅう]です。","""I'm happy for the four-day weekend we're about to have.<br><br>連休[れんきゅう] - extended weekend, ~-day weekend""","Me alegro por el fin de semana de cuatro días que vamos a tener.<br><br>連休[れんきゅう] - fin de semana ampliado, ~ fin de semana de un día","[sound:JLPT_Tango_N4_0287.mp3]","","単語N4"
"お正月の休みに国へ帰るつもりです。","お 正月[しょうがつ]の 休[やす]みに 国[くに]へ 帰[かえ]るつもりです。","""I intend to go back to my country during the New Year's holiday.<br><br>（お） 正月[しょうがつ] - New Year's""","Tengo la intención de volver a mi país durante las vacaciones de Año Nuevo.<br><br>（お） 正月[しょうがつ] - Año Nuevo","[sound:JLPT_Tango_N4_0288.mp3]","","単語N4"
"駅の近くの旅行社はとても親切です。","駅[えき]の 近[ちか]くの 旅行[りょこう] 社[しゃ]はとても 親切[しんせつ]です。","The travel agency near the station is really kind.<br><br>旅行[りょこう] 社[しゃ] - travel agency","La agencia de viajes cerca de la estación es realmente amable.<br><br>旅行[りょこう] 社[しゃ] - agencia de viajes","[sound:JLPT_Tango_N4_0289.mp3]","","単語N4"
"友達とハワイ旅行を申し込みました。","友達[ともだち]とハワイ 旅行[りょこう]を 申[もう]し 込[こ]みました。","I booked a trip to Hawaii with my friend.<br><br>申[もう]し 込[こ]む - to apply","Reservé un viaje a Hawái con mi amigo.<br><br>[申[もう]し[こ[む 込[こ]む - para solicitarlo","[sound:JLPT_Tango_N4_0290.mp3]","","単語N4"
"シングルの部屋を予約しました。","シングルの 部屋[へや]を 予約[よやく]しました。","I reserved a room with a single bed.<br><br>シングル（ベッド） - room with a single bed<br><br>ベッド is usually omitted.","He reservado una habitación con una cama individual.<br><br>シングル（ベッド） - habitación con cama individual<br><br>ベッド suele omitirse.","[sound:JLPT_Tango_N4_0291.mp3]","","単語N4"
"早くホテルを予約した方がいいです。","早[はや]くホテルを 予約[よやく]した 方[ほう]がいいです。","You should make a hotel reservation soon.<br><br>予約[よやく]＜する＞ - reservation","Deberías hacer una reserva de hotel pronto.<br><br>予約[よやく]＜する＞ - reserva","[sound:JLPT_Tango_N4_0292.mp3]","","単語N4"
"旅行の支度をしています。","旅行[りょこう]の 支度[したく]をしています。","""I'm making preparations for my trip.<br><br>支度[したく]＜する＞ - preparations""","Estoy haciendo los preparativos para mi viaje.<br><br>[支度[したく]＜する＞ - preparativos","[sound:JLPT_Tango_N4_0293.mp3]","","単語N4"
"ここから空港までバスで行きます。","ここから 空港[くうこう]までバスで 行[い]きます。","""I'm going from here to the airport by bus.<br><br>空港[くうこう] - airport""","Voy de aquí al aeropuerto en autobús.<br><br>空港[くうこう] - aeropuerto","[sound:JLPT_Tango_N4_0294.mp3]","","単語N4"
"何処で日本円に両替したらいいですか。","何処[どこ]で 日本円[にほんえん]に 両替[りょうがえ]したらいいですか。","Where should I exchange money into Japanese yen?<br><br>両替[りょうがえ]＜する＞ - exchange","¿Dónde debo cambiar dinero en yenes japoneses?<br><br>両替[りょうがえ]＜する＞ - cambio","[sound:JLPT_Tango_N4_0295.mp3]","","単語N4"
"飛行機がもうすぐ出発します。","飛行機[ひこうき]がもうすぐ 出発[しゅっぱつ]します。","The plane will depart soon.<br><br>出発[しゅっぱつ]＜する＞ - departing","El avión partirá pronto.<br><br>出発[しゅっぱつ]＜する＞ - partiendo","[sound:JLPT_Tango_N4_0296.mp3]","","単語N4"
"何時に日本に到着しますか。","何[なん] 時[じ]に 日本[にほん]に 到着[とうちゃく]しますか。","What time will you arrive in Japan?<br><br>到着[とうちゃく]＜する＞ - arrival","¿A qué hora llegará a Japón?<br><br>到着[とうちゃく]＜する＞ - llegada","[sound:JLPT_Tango_N4_0297.mp3]","","単語N4"
"来月、帰国することになりました。","来月[らいげつ]、 帰国[きこく]することになりました。","""I must go back to my country next month.<br><br>帰国[きこく]＜する＞ - returning to one's country""","Debo volver a mi país el mes que viene.<br><br>帰国[きこく]＜する＞ - volver a su país","[sound:JLPT_Tango_N4_0298.mp3]","","単語N4"
"この旅館はとても有名です。","この 旅館[りょかん]はとても 有名[ゆうめい]です。","This Japanese-style inn is very famous.<br><br>旅館[りょかん] - Japanese-style inn","Esta posada de estilo japonés es muy famosa.<br><br>旅館[りょかん] - Posada de estilo japonés","[sound:JLPT_Tango_N4_0299.mp3]","","単語N4"
"ホテルのフロントでパスポートを見せます。","ホテルのフロントでパスポートを 見[み]せます。","I will show my passport at the hotel front desk.<br><br>フロント - front desk","Mostraré mi pasaporte en la recepción del hotel.<br><br>フロント - Recepción","[sound:JLPT_Tango_N4_0300.mp3]","","単語N4"
"あの有名な旅館に泊まってみたいです。","あの 有名[ゆうめい]な 旅館[りょかん]に 泊[と]まってみたいです。","I want to stay at that famous Japanese-style inn.<br><br>泊[と]まる - to stay","Quiero alojarme en esa famosa posada de estilo japonés.<br><br>泊[と]まる - alojarse","[sound:JLPT_Tango_N4_0301.mp3]","","単語N4"
"暖かい国でゆっくり過ごしたいです。","暖[あたた]かい 国[くに]でゆっくり 過[す]ごしたいです。","I want to spend my time living leisurely in a warm country.<br><br>過[す]ごす - to spend","Quiero pasar mi tiempo viviendo tranquilamente en un país cálido.<br><br>過[す]ごす - pasar","[sound:JLPT_Tango_N4_0302.mp3]","","単語N4"
"若い時に色々経験しておきます。","若[わか]い 時[とき]に 色々[いろいろ] 経験[けいけん]しておきます。","I will experience a lot when I am young.<br><br>経験[けいけん]＜する＞ - experience","Experimentaré mucho cuando sea joven.<br><br>経験[けいけん]＜する＞ - experiencia","[sound:JLPT_Tango_N4_0303.mp3]","","単語N4"
"バスに乗って、東京を見物しました。","バスに 乗[の]って、 東京[とうきょう]を 見物[けんぶつ]しました。","I got on a bus and went sightseeing in Tokyo.<br><br>見物[けんぶつ]＜する＞ - sightseeing","Me subí a un autobús y fui a hacer turismo en Tokio.<br><br>[見物[けんぶつ]＜する＞ - turismo","[sound:JLPT_Tango_N4_0304.mp3]","","単語N4"
"友達が綺麗な葉書を送ってくれました。","友達[ともだち]が 綺麗[きれい]な 葉書[はがき]を 送[おく]ってくれました。","My friend sent me a beautiful postcard.<br><br>葉書[はがき] - postcard","Mi amigo me envió una hermosa postal.<br><br>葉書[はがき] - postal","[sound:JLPT_Tango_N4_0305.mp3]","","単語N4"
"日本料理は和食とも言います。","日本[にほん] 料理[りょうり]は 和食[わしょく]とも 言[い]います。","Japanese cuisine is called washoku.<br><br>和食[わしょく] - Japanese food","La cocina japonesa se llama washoku.<br><br>和食[わしょく] - Comida japonesa","[sound:JLPT_Tango_N4_0306.mp3]","","単語N4"
"今日は洋食が食べたいです。","今日[きょう]は 洋食[ようしょく]が 食[た]べたいです。","Today, I want to eat Western food.<br><br>洋食[ようしょく] - Western food","Hoy quiero comer comida occidental.<br><br>洋食[ようしょく] - Comida occidental","[sound:JLPT_Tango_N4_0307.mp3]","","単語N4"
"一人で４００グラムのステーキを食べました。","一人[ひとり]で４００グラムのステーキを 食[た]べました。","I ate a 400 gram steak by myself.<br><br>ステーキ - steak","Me comí un filete de 400 gramos yo solo.<br><br>ステーキ - filete","[sound:JLPT_Tango_N4_0308.mp3]","","単語N4"
"豆腐のハンバーグは体にいいです。","豆腐[とうふ]のハンバーグは 体[からだ]にいいです。","Tofu hamburger steak is good for you.<br><br>ハンバーグ - hamburger steak","El filete de hamburguesa de tofu es bueno para ti.<br><br>ハンバーグ - filete de hamburguesa","[sound:JLPT_Tango_N4_0309.mp3]","","単語N4"
"毎日、沢山サラダを食べています。","毎日[まいにち]、 沢山[たくさん]サラダを 食[た]べています。","I eat a lot of salad every day.<br><br>サラダ - salad","Como mucha ensalada todos los días.<br><br>サラダ - ensalada","[sound:JLPT_Tango_N4_0310.mp3]","","単語N4"
"毎日、３時にケーキを食べます。","毎日[まいにち]、３ 時[じ]にケーキを 食[た]べます。","I eat cake at 3:00 every day.<br><br>ケーキ - cake","Como pastel a las 3:00 todos los días.<br><br>ケーキ - tarta","[sound:JLPT_Tango_N4_0311.mp3]","","単語N4"
"今日の晩御飯のメニューは何ですか。","今日[きょう]の 晩[ばん] 御飯[ごはん]のメニューは 何[なん]ですか。","""What's on the menu for dinner tonight?<br><br>メニュー - menu""","¿Qué hay en el menú para la cena de esta noche? <br><br>メニュー - menú","[sound:JLPT_Tango_N4_0312.mp3]","","単語N4"
"あの店は２０００円で食べ放題です。","あの 店[みせ]は２０００ 円[えん]で 食[た]べ 放題[ほうだい]です。","That restaurant has an all-you-can-eat menu for 2,000 yen.<br><br>食[た]べ 放題[ほうだい] - all-you-can-eat","Ese restaurante tiene un menú de todo lo que puedas comer por 2.000 yenes.<br><br>食[た]べ[ほうだい] - todo lo que puedas comer 放題[ほうだい] - todo lo que puedas comer","[sound:JLPT_Tango_N4_0313.mp3]","","単語N4"
"肉料理を沢山注文しました。","肉[にく] 料理[りょうり]を 沢山[たくさん] 注文[ちゅうもん]しました。","I ordered a lot of food with meat.<br><br>注文[ちゅうもん]＜する＞ - order","Pedí un montón de comida con carne.<br><br>[注文[ちゅうもん]＜する＞ - pedido","[sound:JLPT_Tango_N4_0314.mp3]","","単語N4"
"誕生日に友達がご馳走してくれました。","誕生[たんじょう] 日[び]に 友達[ともだち]がご 馳走[ちそう]してくれました。","On my birthday, my friend treated me to a meal.<br><br>ご 馳走[ちそう]＜する＞ - treating to a meal","En mi cumpleaños, mi amigo me invitó a una comida.<br><br>ご[ちそう]＜する＞ - invitar a una comida 馳走[ちそう]＜する＞ - invitar a una comida","[sound:JLPT_Tango_N4_0315.mp3]","","単語N4"
"アルコールは飲めないので、ウーロン茶にします。","アルコールは 飲[の]めないので、ウーロン 茶[ちゃ]にします。","""I can't drink alcohol, so I ordered some oolong tea.<br><br>アルコール - alcohol""","No puedo beber alcohol, así que pedí un té oolong.<br><br>アルコール - alcohol","[sound:JLPT_Tango_N4_0316.mp3]","","単語N4"
"ビールで乾杯しましょう。","ビールで 乾杯[かんぱい]しましょう。","""Let's have a toast with beer.<br><br>乾杯[かんぱい]＜する＞ - toast""","Brindemos con cerveza.<br><br>乾杯[かんぱい]＜する＞ - brindis","[sound:JLPT_Tango_N4_0317.mp3]","","単語N4"
"ワインを飲み過ぎて、酔ってしまいました。","ワインを 飲[の]み 過[す]ぎて、 酔[よ]ってしまいました。","I drank too much wine and got drunk.<br><br>酔[よ]う - to get drunk<br><br>酔[よ]っ 払[ぱら]う is only used when someone has had too much to drink, while  酔[よ]う can be used for motion sickness or seasickness.","Bebí demasiado vino y me emborraché.<br><br>酔[よ]う - para emborracharse<br><br>[酔[よ]っ 払[ぱら]う sólo se utiliza cuando alguien ha bebido demasiado, mientras que 酔[よ}]う puede utilizarse para el mareo o la cinetosis.","[sound:JLPT_Tango_N4_0318.mp3]","","単語N4"
"この料理には醤油を使います。","この 料理[りょうり]には 醤油[しょうゆ]を 使[つか]います。","Soy sauce is used in this dish.<br><br>醤油[しょうゆ] - soy sauce","En este plato se utiliza salsa de soja.<br><br>醤油[しょうゆ] - salsa de soja","[sound:JLPT_Tango_N4_0319.mp3]","","単語N4"
"この料理にはソースが合います。","この 料理[りょうり]にはソースが 合[あ]います。","This dish goes well with sauce.<br><br>ソース - sauce","Este plato va bien con salsa.<br><br>ソース - salsa","[sound:JLPT_Tango_N4_0320.mp3]","","単語N4"
"これは醤油を漬けると、美味しいです。","これは 醤油[しょうゆ]を 漬[つ]けると、 美味[おい]しいです。","This is good if you put in it soy sauce.<br><br>（ 醤油[しょうゆ]を） 醤油[しょうゆ]を 漬[つ]ける - to put in soy sauce","Esto es bueno si le pones salsa de soja.<br><br>（ 醤油[しょうゆ]を） 醤油[しょうゆ]を 漬[つ]ける - para poner en salsa de soja","[sound:JLPT_Tango_N4_0321.mp3]","","単語N4"
"私はこの店の味が大好きです。","私[わたし]はこの 店[みせ]の 味[あじ]が 大好[だいす]きです。","I love the way the food at this restaurant tastes.<br><br>味[あじ] - taste, flavor","Me encanta el sabor de la comida de este restaurante.<br><br>味[あじ] - gusto, sabor","[sound:JLPT_Tango_N4_0322.mp3]","","単語N4"
"今日の味噌汁はちょっと薄いです。","今日[きょう]の 味噌汁[みそしる]はちょっと 薄[うす]いです。","The miso soup is a little thin today.<br><br>（ 味[あじ]が） 薄[うす]い - thin (flavor)<br><br>This can be used not only for flavor, but also for colors.","La sopa de miso está un poco escasa hoy.<br><br>（ 味[あじ]が） 薄[うす]い - fino (sabor)<br><br>Se puede utilizar no sólo para el sabor, sino también para los colores.","[sound:JLPT_Tango_N4_0323.mp3]","","単語N4"
"私は濃いお茶が好きです。","私[わたし]は 濃[こ]いお 茶[ちゃ]が 好[す]きです。","I like thick tea.<br><br>（ 味[あじ]が） 濃[こ]い - rich, thick (flavor)","Me gusta el té espeso.<br><br>（ 味[あじ]が） 濃[こ]い - rico, espeso (sabor)","[sound:JLPT_Tango_N4_0324.mp3]","","単語N4"
"ビールは苦いので、余り飲みません。","ビールは 苦[にが]いので、 余[あま]り 飲[の]みません。","""Beer is bitter, so I don't drink it much.<br><br>苦[にが]い - bitter""","La cerveza es amarga, así que no la bebo mucho.<br><br>苦[にが]い - amargo","[sound:JLPT_Tango_N4_0325.mp3]","","単語N4"
"台所からいい匂いがしてきました。","台所[だいどころ]からいい 匂[にお]いがしてきました。","There is a nice smell coming from the kitchen.<br><br>匂[にお]い - smell","Hay un olor agradable que viene de la cocina.<br><br>匂[にお]い - olor","[sound:JLPT_Tango_N4_0326.mp3]","","単語N4"
